ID,NOMBRE,COMPLETADO,EXTRA
CRO8,,NO,0
CRO9,,NO,0
CRO10,,NO,0
CRO11,,NO,0
CRO12,,NO,0
CRO13,EQUIPO,NO,0
CRO14,,NO,0
CRO15,,NO,0
CRO16,,NO,0
CRO17,,NO,0
CRO18,,NO,0
CRO19,,NO,0
CRO20,,NO,0
GHA1,ESCUDO,NO,0
GHA2,,NO,0
GHA3,,NO,0
GHA4,,NO,0
GHA5,,NO,0
GHA6,,NO,0
GHA7,,NO,0
GHA8,,NO,0
GHA9,,NO,0
GHA10,,NO,0
GHA11,,NO,0
GHA12,,NO,0
GHA13,EQUIPO,NO,0
GHA14,,NO,0
GHA15,,NO,0
GHA16,,NO,0
GHA17,,NO,0
GHA18,,NO,0
GHA19,,NO,0
GHA20,,NO,0
PAN1,,NO,0
PAN2,,NO,0
PAN3,,NO,0
PAN4,,NO,0
PAN5,,NO,0
PAN6,,NO,0
PAN7,,NO,0
PAN8,,NO,0
PAN9,,NO,0
PAN10,,NO,0
PAN11,,NO,0
PAN12,,NO,0
PAN13,,NO,0
PAN14,,NO,0
PAN15,,NO,0
PAN16,,NO,0
PAN17,,NO,0
PAN18,,NO,0
PAN19,,NO,0
PAN20,,NO,0
